# nm       dimensionless

# ad-hoc data points added by legend-pygeom-optics
617.581000 0.000104
618.349000 0.000095
619.116000 0.000095
619.883000 0.000106
620.650000 0.000097
621.418000 0.000091
622.185000 0.000093
622.952000 0.000093
623.719000 0.000075
624.485000 0.000075
625.252000 0.000063
626.019000 0.000070
626.785000 0.000054
627.552000 0.000052
628.318000 0.000043
629.085000 0.000052
629.851000 0.000048
630.617000 0.000036
631.383000 0.000039
632.149000 0.000048
632.915000 0.000050
633.681000 0.000055
634.447000 0.000057
635.212000 0.000061
635.978000 0.000057
636.744000 0.000048
637.509000 0.000055
638.274000 0.000080
639.040000 0.000084
639.805000 0.000087
640.570000 0.000071
641.335000 0.000084
642.100000 0.000091
642.865000 0.000075
643.630000 0.000052
644.394000 0.000048
645.159000 0.000048
645.924000 0.000043
646.688000 0.000046
647.453000 0.000053
648.217000 0.000062
648.981000 0.000078
649.745000 0.000071
